,ds,y
35955,2018-06-25,3372
109386,2018-06-26,3372
101385,2018-06-27,3372
30898,2018-06-28,3375
146733,2018-06-29,3379
156487,2018-06-30,3385
145079,2018-07-01,3384
138116,2018-07-02,3382
128876,2018-07-03,3411
103596,2018-07-04,3418
99864,2018-07-05,3423
128601,2018-07-06,3433
22259,2018-07-07,3434
102985,2018-07-08,3436
129732,2018-07-09,3430
80049,2018-07-10,3441
127169,2018-07-11,3442
152452,2018-07-12,3446
100675,2018-07-13,3455
153066,2018-07-14,3458
163875,2018-07-15,3459
108716,2018-07-16,3462
80058,2018-07-17,3511
102234,2018-07-18,3531
152932,2018-07-19,3559
146072,2018-07-20,3582
153185,2018-07-21,3585
126684,2018-07-22,3586
109507,2018-07-23,3587
152405,2018-07-24,3595
152486,2018-07-25,3605
153184,2018-07-26,3608
79145,2018-07-27,3604
138730,2018-07-28,3615
129112,2018-07-29,3617
152604,2018-07-30,3621
144425,2018-07-31,3657
129302,2018-08-01,3684
152515,2018-08-02,3749
152562,2018-08-03,3767
163864,2018-08-04,3780
106368,2018-08-05,3784
129419,2018-08-06,3785
129070,2018-08-07,3809
109531,2018-08-08,3817
104942,2018-08-09,3836
129218,2018-08-10,3839
129549,2018-08-11,3867
163900,2018-08-12,3871
139448,2018-08-13,3881
152591,2018-08-14,3914
129096,2018-08-15,3961
152717,2018-08-16,3995
109549,2018-08-17,4010
152588,2018-08-18,4017
152691,2018-08-19,4022
152781,2018-08-20,4035
79261,2018-08-21,4064
109536,2018-08-22,4105
129474,2018-08-23,4110
146198,2018-08-24,4117
152666,2018-08-25,4128
152664,2018-08-26,4134
153510,2018-08-27,4139
129502,2018-08-28,4156
36236,2018-08-29,4160
129193,2018-08-30,4187
129556,2018-08-31,4194
129809,2018-09-01,4197
84790,2018-09-02,4198
146410,2018-09-03,4198
129453,2018-09-04,4265
133562,2018-09-05,4277
129378,2018-09-06,4298
130172,2018-09-07,4318
113033,2018-09-08,4341
84717,2018-09-09,4354
113075,2018-09-10,4350
105708,2018-09-11,4400
22758,2018-09-12,4399
129591,2018-09-13,4426
138402,2018-09-14,4449
156646,2018-09-15,4454
152641,2018-09-16,4459
146671,2018-09-17,4465
133622,2018-09-18,4480
138272,2018-09-19,4514
138422,2018-09-20,4514
138279,2018-09-21,4538
96414,2018-09-22,4543
112356,2018-09-23,4546
112073,2018-09-24,4550
113391,2018-09-25,4569
129716,2018-09-26,4600
146591,2018-09-27,4631
106818,2018-09-28,4654
129834,2018-09-29,4658
74604,2018-09-30,4662
130238,2018-10-01,4663
129951,2018-10-02,4708
112260,2018-10-03,4696
112519,2018-10-04,4699
156717,2018-10-05,4728
112568,2018-10-06,4742
146303,2018-10-07,4742
130003,2018-10-08,4743
146228,2018-10-09,4799
146322,2018-10-10,4838
130239,2018-10-11,4876
112597,2018-10-12,4886
69890,2018-10-13,4895
153011,2018-10-14,4901
113378,2018-10-15,4906
152941,2018-10-16,4935
138439,2018-10-17,4957
130399,2018-10-18,4980
156607,2018-10-19,4993
138652,2018-10-20,5001
130490,2018-10-21,5006
130388,2018-10-22,5006
69940,2018-10-23,5029
112750,2018-10-24,5037
126258,2018-10-25,5046
146483,2018-10-26,5052
112573,2018-10-27,5061
163863,2018-10-28,5071
30858,2018-10-29,5074
153081,2018-10-30,5102
152499,2018-10-31,5124
130514,2018-11-01,5127
133764,2018-11-02,5132
124935,2018-11-03,5136
106346,2018-11-04,5137
69928,2018-11-05,5134
133682,2018-11-06,5168
130507,2018-11-07,5200
85976,2018-11-08,5218
129510,2018-11-09,5232
112197,2018-11-10,5245
85489,2018-11-11,5251
85781,2018-11-12,5254
133711,2018-11-13,5295
112228,2018-11-14,5338
130499,2018-11-15,5370
112188,2018-11-16,5401
113355,2018-11-18,5404
112158,2018-11-19,5399
112276,2018-11-20,5456
86932,2018-11-21,5501
112371,2018-11-22,5530
130567,2018-11-23,5542
130277,2018-11-24,5560
85498,2018-11-25,5563
138487,2018-11-26,5577
163901,2018-11-27,5599
138444,2018-11-28,5608
108416,2018-11-29,5628
100657,2018-11-30,5643
145481,2018-12-02,5661
109663,2018-12-03,5648
128932,2018-12-04,5635
69955,2018-12-05,5605
127976,2018-12-06,5608
130477,2018-12-07,5597
125466,2018-12-09,5572
129889,2018-12-10,5569
112337,2018-12-11,5565
125825,2018-12-12,5560
158627,2018-12-13,5562
127414,2018-12-14,5562
112050,2018-12-15,5563
137549,2018-12-16,5563
137394,2018-12-17,5565
54506,2018-12-18,5565
113113,2018-12-21,5565
137782,2018-12-23,5564
41149,2018-12-24,5563
138715,2018-12-25,5563
156661,2018-12-26,5564
133825,2018-12-27,5564
158872,2018-12-28,5564
98397,2018-12-30,5564
144513,2018-12-31,5564
