,ds,y
2030,2020-02-13,306
2018,2020-02-14,306
1330,2020-02-15,306
588,2020-02-16,306
703,2020-02-17,306
776,2020-02-18,306
536,2020-02-19,304
557,2020-02-20,302
4680,2020-02-23,302
1328,2020-02-24,302
6552,2020-02-25,303
1637,2020-02-26,304
6540,2020-02-27,304
6431,2020-02-29,304
1745,2020-03-01,304
1753,2020-03-02,303
1735,2020-03-03,303
915,2020-03-04,304
4262,2020-03-05,303
2178,2020-03-08,303
5204,2020-03-09,303
689,2020-03-10,302
4552,2020-03-11,302
3472,2020-03-12,301
6012,2020-03-14,300
809,2020-03-15,300
62,2020-03-16,299
2450,2020-03-17,299
3713,2020-03-18,300
4350,2020-03-19,300
1334,2020-03-20,299
4605,2020-03-22,298
4270,2020-03-23,298
2253,2020-03-24,298
2556,2020-03-26,297
705,2020-03-29,285
2017,2020-03-30,285
1834,2020-03-31,285
4663,2020-04-01,285
5889,2020-04-02,285
1731,2020-04-07,285
1627,2020-04-08,284
1324,2020-04-11,283
2032,2020-04-15,283
66,2020-04-16,283
2640,2020-04-19,283
4258,2020-04-22,281
2434,2020-04-29,281
2638,2020-04-30,281
4870,2020-05-03,281
4588,2020-05-04,281
4832,2020-05-06,281
4878,2020-05-10,281
3243,2020-05-11,281
6543,2020-05-13,281
357,2020-05-14,281
481,2020-05-19,281
690,2020-05-24,281
87,2020-05-27,281
6212,2020-05-31,280
4257,2020-06-01,278
3840,2020-06-02,278
3474,2020-06-04,278
638,2020-06-09,278
3718,2020-06-11,278
5091,2020-06-25,277
4366,2020-06-28,276
3497,2020-06-30,276
2886,2020-07-05,276
3610,2020-07-06,276
4668,2020-07-07,269
4837,2020-07-14,269
1713,2020-07-16,269
701,2020-07-22,269
2418,2020-07-28,268
362,2020-07-29,267
665,2020-08-02,267
3122,2020-08-03,266
183,2020-08-05,266
3225,2020-08-06,266
3136,2020-08-09,266
1525,2020-08-11,266
4418,2020-08-17,266
2183,2020-08-24,266
3466,2020-08-26,266
3972,2020-08-27,266
1899,2020-08-31,266
685,2020-09-07,266
3711,2020-09-10,266
3808,2020-09-13,266
3819,2020-09-20,266
6029,2020-09-24,266
4007,2020-09-28,266
2636,2020-09-29,266
890,2020-09-30,266
2540,2020-10-04,266
707,2020-10-05,266
2546,2020-10-06,266
813,2020-10-07,266
1854,2020-10-08,266
3112,2020-10-12,266
3637,2020-10-13,266
1939,2020-10-14,266
3253,2020-10-19,266
885,2020-10-20,266
1949,2020-10-22,266
391,2020-10-25,266
306,2020-10-26,266
3138,2020-10-27,267
1504,2020-10-28,267
1896,2020-10-29,268
3516,2020-11-01,268
3257,2020-11-02,268
3416,2020-11-03,268
3554,2020-11-05,268
3558,2020-11-08,267
3628,2020-11-09,267
3633,2020-11-10,266
704,2020-11-11,266
814,2020-11-15,266
2572,2020-11-16,266
6039,2020-11-17,266
3132,2020-11-18,266
3244,2020-11-19,266
777,2020-11-22,266
3207,2020-11-23,266
3809,2020-11-24,266
3559,2020-11-25,266
4685,2020-11-26,266
1285,2020-11-29,266
3599,2020-11-30,266
3607,2020-12-01,266
1171,2020-12-02,266
3106,2020-12-08,266
4995,2020-12-09,266
1717,2020-12-13,265
3662,2020-12-14,265
6032,2020-12-17,265
771,2020-12-31,264
2854,2021-01-03,263
4009,2021-01-04,262
1375,2021-01-05,261
1746,2021-01-06,261
4977,2021-01-07,261
6235,2021-01-10,261
2879,2021-01-11,260
861,2021-01-12,260
3127,2021-01-13,259
523,2021-01-14,259
1616,2021-01-17,259
2866,2021-01-18,258
4984,2021-01-19,258
3111,2021-01-20,258
4979,2021-01-21,258
4388,2021-01-24,258
652,2021-01-25,258
4607,2021-01-26,257
6041,2021-01-27,257
1541,2021-01-28,257
5076,2021-01-31,256
2477,2021-02-01,256
5002,2021-02-02,255
557,2021-02-03,255
1941,2021-02-04,255
3807,2021-02-07,255
1894,2021-02-08,255
4819,2021-02-09,255
3623,2021-02-10,255
4470,2021-02-11,254
2276,2021-02-14,254
3768,2021-02-15,254
4274,2021-02-16,254
3802,2021-02-17,254
1460,2021-02-21,253
3222,2021-02-23,252
5852,2021-02-24,252
3511,2021-02-28,252
2367,2021-03-01,252
5014,2021-03-02,252
395,2021-03-03,252
4010,2021-03-04,252
4039,2021-03-05,252
392,2021-03-07,252
718,2021-03-08,251
466,2021-03-09,251
5009,2021-03-11,251
4005,2021-03-14,251
3673,2021-03-15,251
3436,2021-03-16,252
710,2021-03-17,252
725,2021-03-18,253
2185,2021-03-21,253
1180,2021-03-22,253
4157,2021-03-23,253
2170,2021-03-24,253
717,2021-03-25,255
1644,2021-03-26,257
2775,2021-03-27,257
4380,2021-03-28,257
1248,2021-03-29,257
4174,2021-03-30,257
1887,2021-03-31,259
1893,2021-04-01,259
4838,2021-04-03,259
3606,2021-04-04,259
4377,2021-04-05,259
1300,2021-04-06,259
4175,2021-04-07,259
1948,2021-04-08,259
3877,2021-04-11,259
4234,2021-04-12,259
1407,2021-04-13,257
764,2021-04-14,257
1647,2021-04-15,257
920,2021-04-17,257
4339,2021-04-18,257
3724,2021-04-19,258
3723,2021-04-20,258
1339,2021-04-21,258
4378,2021-04-22,258
3853,2021-04-23,256
1649,2021-04-25,257
5884,2021-04-26,257
4504,2021-04-27,257
1095,2021-04-28,253
6394,2021-04-29,240
6406,2021-04-30,239
1181,2021-05-01,239
4845,2021-05-02,239
3569,2021-05-03,239
3602,2021-05-04,239
2571,2021-05-05,238
3415,2021-05-06,236
