,ds,y
99378,2018-04-24,2237
103436,2018-04-25,2247
109423,2018-04-26,2246
146062,2018-04-27,2246
112853,2018-04-28,2246
133341,2018-04-29,2249
99937,2018-04-30,2255
128603,2018-05-01,2307
128483,2018-05-02,2330
133355,2018-05-03,2345
109515,2018-05-04,2345
128839,2018-05-05,2348
128349,2018-05-06,2354
128241,2018-05-07,2379
128369,2018-05-08,2425
133442,2018-05-09,2445
133350,2018-05-10,2466
145937,2018-05-11,2472
128586,2018-05-12,2476
144519,2018-05-13,2474
153052,2018-05-14,2472
112720,2018-05-15,2488
145856,2018-05-16,2491
128400,2018-05-17,2444
145839,2018-05-18,2430
128874,2018-05-19,2442
151749,2018-05-20,2444
145854,2018-05-21,2437
133514,2018-05-22,2462
80044,2018-05-23,2477
145928,2018-05-24,2482
145699,2018-05-25,2496
145715,2018-05-26,2505
153003,2018-05-27,2511
128660,2018-05-28,2510
152348,2018-05-29,2531
79092,2018-05-30,2540
151492,2018-05-31,2557
133495,2018-06-01,2563
133577,2018-06-02,2583
126456,2018-06-03,2587
145797,2018-06-04,2586
108892,2018-06-05,2605
108964,2018-06-06,2617
30848,2018-06-07,2623
128837,2018-06-08,2634
137991,2018-06-09,2647
128079,2018-06-10,2650
36235,2018-06-11,2651
109206,2018-06-12,2657
145884,2018-06-13,2658
113086,2018-06-14,2670
22209,2018-06-15,2685
112772,2018-06-16,2692
112577,2018-06-17,2693
146133,2018-06-18,2689
153174,2018-06-19,2722
103501,2018-06-20,2726
106271,2018-06-21,2738
137396,2018-06-22,2727
112717,2018-06-23,2735
127253,2018-06-24,2735
35955,2018-06-25,2734
109386,2018-06-26,2737
101385,2018-06-27,2731
30898,2018-06-28,2733
146733,2018-06-29,2733
156487,2018-06-30,2734
145079,2018-07-01,2734
138116,2018-07-02,2739
128876,2018-07-03,2743
103596,2018-07-04,2735
99864,2018-07-05,2703
128601,2018-07-06,2709
22259,2018-07-07,2712
102985,2018-07-08,2712
129732,2018-07-09,2701
80049,2018-07-10,2706
127169,2018-07-11,2713
152452,2018-07-12,2706
100675,2018-07-13,2714
153066,2018-07-14,2714
163875,2018-07-15,2714
108716,2018-07-16,2713
80058,2018-07-17,2714
102234,2018-07-18,2717
152932,2018-07-19,2722
146072,2018-07-20,2728
153185,2018-07-21,2731
126684,2018-07-22,2731
109507,2018-07-23,2729
152405,2018-07-24,2725
152486,2018-07-25,2729
153184,2018-07-26,2731
79145,2018-07-27,2736
138730,2018-07-28,2737
129112,2018-07-29,2737
152604,2018-07-30,2737
144425,2018-07-31,2759
129302,2018-08-01,2761
152515,2018-08-02,2791
152562,2018-08-03,2797
163864,2018-08-04,2799
106368,2018-08-05,2799
129419,2018-08-06,2802
129070,2018-08-07,2832
109531,2018-08-08,2845
104942,2018-08-09,2857
129218,2018-08-10,2857
129549,2018-08-11,2862
163900,2018-08-12,2863
139448,2018-08-13,2865
152591,2018-08-14,2881
129096,2018-08-15,2888
152717,2018-08-16,2899
109549,2018-08-17,2906
152588,2018-08-18,2910
152691,2018-08-19,2910
152781,2018-08-20,2910
79261,2018-08-21,2901
109536,2018-08-22,2909
129474,2018-08-23,2910
146198,2018-08-24,2910
152666,2018-08-25,2933
152664,2018-08-26,2933
153510,2018-08-27,2934
129502,2018-08-28,2917
36236,2018-08-29,2927
129193,2018-08-30,2934
129556,2018-08-31,2935
129809,2018-09-01,2939
84790,2018-09-02,2942
146410,2018-09-03,2943
129453,2018-09-04,3039
133562,2018-09-05,3066
129378,2018-09-06,3074
130172,2018-09-07,3096
113033,2018-09-08,3120
84717,2018-09-09,3124
113075,2018-09-10,3126
