Year,Quarter,Month,Day,Daymother - FBProphet,Daymother - SS Targets,Sum of Daymother
,,,,,4941723,77975790.3395054
2028,Qtr 4,October,29,138101.0212054755,214745,139479.6729615688
2028,Qtr 4,October,30,138138.3679884139,214760,139518.034259366
2028,Qtr 4,October,31,138208.3350102884,214785,139588.3082178787
2028,Qtr 4,November,1,138258.7236253137,214796,139639.411729819
2028,Qtr 4,November,2,138306.8805471489,214828,139688.3814077485
2028,Qtr 4,November,3,138356.963106642,214869,139738.7184305837
2028,Qtr 4,November,4,138401.0732251617,214871,139783.5859514276
2028,Qtr 4,November,5,138436.3653287659,,
2028,Qtr 4,November,6,138474.3712726994,215004,139858.2307292756
2028,Qtr 4,November,7,138545.1706919716,215054,139929.4725785182
2028,Qtr 4,November,8,138596.4977548768,215105,139981.6692828071
2028,Qtr 4,November,9,138645.6234148854,215143,140031.7772678773
2028,Qtr 4,November,10,138696.6226925936,215158,140083.2105769683
2028,Qtr 4,November,11,138741.5109132516,215204,140129.0406748972
2028,Qtr 4,November,12,138777.35406373,215213,140165.2878643149
2028,Qtr 4,November,13,138815.5962715561,215245,140204.835560025
2028,Qtr 4,November,14,138886.2327513037,215253,140276.0825189851
2028,Qtr 4,November,15,138936.9191231132,215373,140327.7912144085
2028,Qtr 4,November,16,138984.8561270897,215529,140376.8434836569
2028,Qtr 4,November,17,139034.0591960149,215629,140426.5899246074
2028,Qtr 4,November,18,139076.4967469972,215660,140470.0518511938
2028,Qtr 4,November,19,139109.2022972229,215668,140503.2145486719
2028,Qtr 4,November,20,139143.6033555706,215710,140538.9430216993
2028,Qtr 4,November,21,139209.6953937567,215826,140605.6352898467
2028,Qtr 4,November,22,139255.1517705919,215932,140652.0713869286
2028,Qtr 4,November,23,139297.2086131788,215994,140695.1691736717
2028,Qtr 4,November,24,139339.9341093928,216137,140738.333430632
2028,Qtr 4,November,25,139375.3660762327,216181,140774.6570469018
2028,Qtr 4,November,26,139400.6229250778,216210,140800.2130624445
2028,Qtr 4,November,27,139427.2310029623,216324,140827.9687863929
2028,Qtr 4,November,28,139485.2966515839,216558,140886.4370863062
2028,Qtr 4,November,29,139522.613905296,216635,140924.5230551283
2028,Qtr 4,November,30,139556.5468878907,216660,140959.2772243212
2028,Qtr 4,December,1,139591.2964252323,216689,140994.2418559674
2028,Qtr 4,December,2,139619.0348060448,216693,141022.6492003913
2028,Qtr 4,December,3,139637.0138827595,216719,141040.7105513056
2028,Qtr 4,December,4,139656.8895635961,216780,141061.5273961197
2028,Qtr 4,December,5,139708.8911088851,216787,141113.7398307765
2028,Qtr 4,December,6,139740.9262214934,216955,141146.370517317
2028,Qtr 4,December,7,139770.461055221,216968,141176.575419232
2028,Qtr 4,December,8,139801.7847160595,217012,141207.9879073923
2028,Qtr 4,December,9,139827.1422386974,217041,141233.9151749034
2028,Qtr 4,December,10,139843.8412712141,217091,141250.6258351906
2028,Qtr 4,December,11,139863.5755501103,217296,141271.2600326841
2028,Qtr 4,December,12,139916.5935988664,217367,141324.4772559003
2028,Qtr 4,December,13,139950.8036488314,217372,141359.300139802
2028,Qtr 4,December,14,139983.6539039337,217408,141392.8654893676
2028,Qtr 4,December,15,140019.3977105847,217435,141428.7691024173
2028,Qtr 4,December,16,140050.2275910294,217458,141460.2633042753
